	"State of Residence"	"State of Residence Code"	Births	Total Population	Birth Rate	% of Total Births	Average Age of Mother (years)	Average Birth Weight (grams)	Standard Deviation for Average Birth Weight	Average Pre-pregnancy BMI	Standard Deviation for Average Pre-pregnancy BMI	Average Number of Prenatal Visits	Standard Deviation for Average Number of Prenatal Visits
	"Alabama"	"01"	56333	4702687	11.98	1.68%	27.44	3181.72	611.39	28.40	7.44	10.43	3.76
	"Alaska"	"02"	5891	504596	11.67	0.18%	29.47	3395.14	580.07	26.88	6.37	11.12	4.01
	"Arizona"	"04"	69235	6390439	10.83	2.07%	28.46	3284.96	565.01	27.35	6.68	10.67	4.34
	"Arkansas"	"05"	34240	2858306	11.98	1.02%	27.03	3224.82	601.61	28.47	7.48	10.66	3.84
	"California"	"06"	352246	30977496	11.37	10.53%	29.73	3301.84	571.44	27.47	6.46	11.92	4.38
	"Colorado"	"08"	57317	5271091	10.87	1.71%	29.62	3187.90	552.10	26.54	6.22	10.59	4.06
	"Connecticut"	"09"	30848	3276126	9.42	0.92%	30.61	3291.70	589.49	27.04	6.49	12.70	4.02
	"Delaware"	"10"	9497	899619	10.56	0.28%	29.12	3240.27	626.82	28.38	7.06	10.66	3.66
	"District of Columbia"	"11"	8392	649065	12.93	0.25%	30.90	3198.77	615.21	26.41	6.67	10.54	4.30
	"Florida"	"12"	208665	20230907	10.31	6.24%	29.21	3235.94	593.43	27.11	6.64	10.67	4.10
	"Georgia"	"13"	117232	9849652	11.90	3.50%	28.39	3195.80	610.53	27.93	7.16	11.47	4.87
	"Hawaii"	"15"	4646	392275	11.84	0.14%	29.79	3325.77	582.43	25.55	5.31	11.46	5.20
	"Idaho"	"16"	20741	1678711	12.36	0.62%	28.26	3295.92	556.55	27.04	6.54	11.79	3.46
	"Illinois"	"17"	128319	11579431	11.08	3.84%	29.45	3263.89	591.52	27.92	6.98	11.42	4.00
	"Indiana"	"18"	76701	6379188	12.02	2.29%	27.93	3274.22	590.71	28.20	7.26	11.31	3.92
	"Iowa"	"19"	35357	2987185	11.84	1.06%	28.70	3347.06	580.52	27.85	7.04	11.88	3.49
	"Kansas"	"20"	32912	2692571	12.22	0.98%	28.35	3294.09	587.43	27.68	6.90	11.02	3.07
	"Kentucky"	"21"	50650	4288402	11.81	1.51%	27.54	3256.26	597.24	28.09	7.37	11.86	4.41
	"Louisiana"	"22"	56445	4443576	12.70	1.69%	27.66	3160.80	604.27	28.28	7.49	11.52	4.55
	"Maine"	"23"	11195	1292017	8.66	0.33%	29.40	3340.45	586.97	27.99	7.12	13.19	4.04
	"Maryland"	"24"	62620	5418089	11.56	1.87%	29.98	3259.84	610.38	27.48	6.72	10.96	4.18
	"Massachusetts"	"25"	60694	6176067	9.83	1.81%	31.02	3301.94	583.57	26.73	6.24	11.75	3.25
	"Michigan"	"26"	100424	9319457	10.78	3.00%	28.75	3267.76	608.22	27.99	7.15	12.45	5.12
	"Minnesota"	"27"	57760	5119487	11.28	1.73%	30.09	3357.89	586.23	27.55	6.65	11.61	3.68
	"Mississippi"	"28"	35597	2882640	12.35	1.06%	26.95	3126.47	623.75	28.98	7.80	11.69	4.33
	"Missouri"	"29"	67278	5811767	11.58	2.01%	28.23	3262.75	597.53	27.63	7.18	10.85	3.87
	"Montana"	"30"	9370	956600	9.80	0.28%	29.00	3277.61	544.21	26.66	6.41	11.44	3.48
	"Nebraska"	"31"	22618	1804892	12.53	0.68%	28.96	3303.61	577.35	27.30	6.68	11.62	4.28
	"Nevada"	"32"	29805	2593855	11.49	0.89%	28.68	3219.91	568.17	27.16	6.67	11.35	5.53
	"New Hampshire"	"33"	11131	1290468	8.63	0.33%	29.96	3361.27	559.69	27.31	6.73	12.77	3.86
	"New Jersey"	"34"	86272	7726261	11.17	2.58%	30.51	3272.79	579.91	26.86	6.23	10.65	3.69
	"New Mexico"	"35"	19099	1771428	10.78	0.57%	27.78	3163.98	564.62	27.28	6.62	9.79	4.29
	"New York"	"36"	190637	16967899	11.24	5.70%	30.25	3269.56	584.81	26.89	6.43	11.23	3.72
	"North Carolina"	"37"	107811	9730050	11.08	3.22%	28.58	3241.81	613.17	27.69	7.10	12.24	5.09
	"North Dakota"	"38"	8940	688539	12.98	0.27%	28.99	3334.49	578.27	27.96	6.73	10.88	3.18
	"Ohio"	"39"	125608	11078306	11.34	3.76%	28.41	3260.26	599.82	27.79	7.25	11.60	4.43
	"Oklahoma"	"40"	38668	3235173	11.95	1.16%	27.63	3252.46	584.04	27.93	7.19	11.06	4.08
	"Oregon"	"41"	36535	3748876	9.75	1.09%	29.50	3342.52	572.69	27.28	6.80	11.92	3.88
	"Pennsylvania"	"42"	123251	11987154	10.28	3.68%	29.28	3275.89	599.64	27.33	6.93	11.58	4.63
	"Rhode Island"	"44"	9113	975626	9.34	0.27%	29.85	3285.66	588.44	27.08	6.45	13.16	4.35
	"South Carolina"	"45"	54067	4920065	10.99	1.62%	28.25	3212.49	609.97	28.32	7.48	12.22	4.62
	"South Dakota"	"46"	9086	768402	11.82	0.27%	28.99	3318.24	570.52	26.98	6.62	11.18	3.16
	"Tennessee"	"47"	76419	6518866	11.72	2.28%	27.89	3237.19	599.40	27.52	7.15	10.97	4.18
	"Texas"	"48"	350259	26545351	13.19	10.47%	28.19	3234.69	578.86	27.67	6.72	10.35	4.19
	"Utah"	"49"	43311	2951669	14.67	1.29%	28.68	3255.95	551.34	26.29	6.35	11.17	3.17
	"Vermont"	"50"	5143	596876	8.62	0.15%	29.87	3341.55	584.66	27.45	6.98	12.65	3.43
	"Virginia"	"51"	87010	7619559	11.42	2.60%	29.41	3273.25	600.33	27.72	6.88	11.60	4.22
	"Washington"	"53"	67923	6309620	10.76	2.03%	29.61	3358.90	570.24	27.10	6.63	11.09	3.91
	"West Virginia"	"54"	17496	1739732	10.06	0.52%	27.20	3221.52	602.89	28.37	7.66	11.54	4.26
	"Wisconsin"	"55"	57952	5458324	10.62	1.73%	29.26	3315.25	599.22	28.08	7.12	11.92	3.80
